layer,head,mean_plain_dla,mean_cipher_dla,mean_benign_dla,cipher_sensitivity,plain_minus_benign
14,5,-1.0915407297511897,-0.15985890651742618,0.038699322892352936,0.9316818232337635,-1.1302400526435425
14,4,0.9041131326307853,0.20475033645828564,-0.056966354697942735,0.6993627961724996,0.961079487328728
12,2,-0.5914614648247759,-0.048871943292518455,0.00022533313216020664,0.5425895215322575,-0.5916867979569361
12,3,0.5598940103314817,0.04063721662387252,-0.04658649437284718,0.5192567937076091,0.6064805047043289
11,6,0.5606375915308793,0.0876062948256731,-0.03469425924122334,0.4730312967052062,0.5953318507721027
15,6,-0.41210260524724923,0.017326735596482953,0.13223760056619843,0.4294293408437322,-0.5443402058134477
17,6,-0.46314360297595464,-0.04694906128570438,0.001712773748052617,0.4161945416902503,-0.46485637672400726
9,2,0.5477649408703049,0.13352974305550258,-0.12843313235789539,0.41423519781480234,0.6761980732282002
11,5,0.3873259587213397,0.04612909645463029,-0.06831078928274413,0.34119686226670937,0.4556367480040838
16,1,0.32484795671577255,0.0018617242303056022,-0.014464740043816466,0.32298623248546693,0.339312696759589
11,4,-0.37907686062778034,-0.056308123966058096,0.09592606873096278,0.32276873666172223,-0.4750029293587431
8,3,0.39637231960271796,0.088363385386765,0.008770632169519862,0.308008934215953,0.3876016874331981
13,6,0.30969194665861627,0.003504332201555371,-0.0397530578270865,0.3061876144570609,0.34944500448570276
17,7,0.3157908103428781,0.014541197063711783,0.0024659785830105346,0.30124961327916633,0.3133248317598676
13,2,0.3483622716739774,0.0691336693863074,-0.01763608557715391,0.27922860228767,0.3659983572511313
12,4,0.2826921731311207,0.02546421845133106,-0.0034241965079369646,0.25722795467978965,0.2861163696390577
23,1,-0.22950727109176416,0.022668325621634722,0.013289080210961401,0.2521755967133989,-0.24279635130272556
16,0,0.22754555825764936,0.009595126495696604,-0.0076060123896847165,0.21795043176195275,0.23515157064733408
15,7,0.20550481285899877,-0.005310461181215942,-0.03297218980927331,0.21081527404021472,0.23847700266827207
11,1,0.3021446892991662,0.0960239904622237,0.004451359020701299,0.2061206988369425,0.2976933302784649
15,2,0.18563015126467994,-0.0053675560746341945,-0.013730784579335402,0.19099770733931412,0.19936093584401535
23,0,0.09020879709472258,-0.09254150781780482,-0.1561939261232813,0.18275030491252742,0.24640272321800388
7,3,0.18604495860636233,0.02288824274825553,0.0076410482559974,0.16315671585810682,0.17840391035036493
14,6,-0.21958590392023325,-0.056788209546357396,-0.056463593209628016,0.16279769437387587,-0.16312231071060523
14,7,0.09683198972294728,-0.03357381049233178,-0.06587056873055795,0.13040580021527906,0.16270255845350523
10,0,0.1379666796885431,0.009791281594273945,-0.03341308250480021,0.12817539809426914,0.1713797621933433
11,7,0.10923309871771683,0.010479446124130239,-0.0528767516836524,0.0987536525935866,0.16210985040136922
16,6,-0.07543985405936837,0.020333991246297957,-0.02513691847367833,0.09577384530566632,-0.050302935585690045
