layer,head,n_pairs,mean_nll_reduction,mean_baseline_delta,mean_intervened_delta
79,32,120,0.10134066060341264,6.322307862130818,6.220967201527406
77,47,120,0.03901432903474856,6.322307862130818,6.28329353309607
56,34,120,0.020864531832079203,6.322307862130818,6.301443330298739
78,32,120,0.00858693221675519,6.322307862130818,6.313720929914064
75,37,120,0.005872801345304568,6.322307862130818,6.316435060785515
52,53,120,0.0024960404667975934,6.322307862130818,6.319811821664021
58,3,120,-0.00027755315153626204,6.322307862130818,6.322585415282356
73,34,120,-0.00028011137302650925,6.322307862130818,6.322587973503845
50,36,120,-0.0015516420978670675,6.322307862130818,6.323859504228685
71,13,120,-0.03352306622641849,6.322307862130818,6.355830928357237
