layer,head,n_pairs,mean_nll_reduction,mean_baseline_delta,mean_intervened_delta
24,15,120,0.08274891058298535,8.71312685784333,8.630377947260346
30,1,120,0.07496583931148809,8.71312685784333,8.638161018531843
32,3,120,0.01800937729423393,8.71312685784333,8.695117480549097
34,33,120,0.017651854608513245,8.71312685784333,8.695475003234817
36,33,120,0.011559270691834283,8.71312685784333,8.701567587151496
33,32,120,0.010565230986118546,8.71312685784333,8.702561626857213
37,5,120,0.00969603509180273,8.71312685784333,8.703430822751528
38,20,120,0.009056983937416585,8.71312685784333,8.704069873905915
38,25,120,0.0021106884435785614,8.71312685784333,8.711016169399752
29,22,120,0.001992812956389132,8.71312685784333,8.711134044886942
28,33,120,-0.0001116693324304885,8.71312685784333,8.713238527175763
27,11,120,-0.0009654485015426355,8.71312685784333,8.714092306344874
29,34,120,-0.001244397895823103,8.71312685784333,8.714371255739154
37,37,120,-0.002356762210186704,8.71312685784333,8.715483620053517
38,22,120,-0.004283245748739543,8.71312685784333,8.717410103592071
39,22,120,-0.00478538740010741,8.71312685784333,8.717912245243438
37,32,120,-0.006132335829217096,8.71312685784333,8.719259193672547
28,35,120,-0.006472917568570835,8.71312685784333,8.719599775411902
38,21,120,-0.011430730143163335,8.71312685784333,8.724557587986494
38,27,120,-0.015122719660518346,8.71312685784333,8.728249577503849
