layer,head,n_pairs,mean_ctrl_to_ccp_reduction,mean_ccp_to_ctrl_increase,mean_baseline_delta
16,13,120,0.24094015491636622,0.019849277381319627,5.425362246357455
13,7,120,0.18299446737063213,0.17968187056412338,5.425362246357455
27,19,120,0.0592742911495225,0.0026605749143853528,5.425362246357455
29,18,120,0.04465407979676761,0.001862006103744042,5.425362246357455
26,11,120,0.03906604209104144,0.005065859168346189,5.425362246357455
26,9,120,0.03654863660936222,0.0033661706464999945,5.425362246357455
28,17,120,0.014419955967399246,-0.0011245922551436608,5.425362246357455
28,19,120,0.0014236595549778218,0.000551287216790303,5.425362246357455
29,0,120,-0.0044330687607005625,0.0015404456607772475,5.425362246357455
21,15,120,-0.06404266130291635,-0.0013230756629819046,5.425362246357455
