layer,n_pairs,mean_delta_mlp,mean_delta_attn_total,mean_delta_head_0,head_0_ci_low,head_0_ci_high,mean_delta_head_1,head_1_ci_low,head_1_ci_high,mean_delta_head_2,head_2_ci_low,head_2_ci_high,mean_delta_head_3,head_3_ci_low,head_3_ci_high,mean_delta_head_4,head_4_ci_low,head_4_ci_high,mean_delta_head_5,head_5_ci_low,head_5_ci_high,mean_delta_head_6,head_6_ci_low,head_6_ci_high,mean_delta_head_7,head_7_ci_low,head_7_ci_high,mean_delta_head_8,head_8_ci_low,head_8_ci_high,mean_delta_head_9,head_9_ci_low,head_9_ci_high,mean_delta_head_10,head_10_ci_low,head_10_ci_high,mean_delta_head_11,head_11_ci_low,head_11_ci_high,mean_delta_head_12,head_12_ci_low,head_12_ci_high,mean_delta_head_13,head_13_ci_low,head_13_ci_high,mean_delta_head_14,head_14_ci_low,head_14_ci_high,mean_delta_head_15,head_15_ci_low,head_15_ci_high,mean_delta_head_16,head_16_ci_low,head_16_ci_high,mean_delta_head_17,head_17_ci_low,head_17_ci_high,mean_delta_head_18,head_18_ci_low,head_18_ci_high,mean_delta_head_19,head_19_ci_low,head_19_ci_high,mean_delta_head_20,head_20_ci_low,head_20_ci_high,mean_delta_head_21,head_21_ci_low,head_21_ci_high,mean_delta_head_22,head_22_ci_low,head_22_ci_high,mean_delta_head_23,head_23_ci_low,head_23_ci_high,mean_delta_head_24,head_24_ci_low,head_24_ci_high,mean_delta_head_25,head_25_ci_low,head_25_ci_high,mean_delta_head_26,head_26_ci_low,head_26_ci_high,mean_delta_head_27,head_27_ci_low,head_27_ci_high
0,120,-0.0005787183996289969,0.0023385212569337456,5.6296372592138746e-05,5.637474387185649e-06,0.00010562486982962582,-0.00010731916408985853,-0.00039478231820491293,0.00023520152547765378,5.5128943737751495e-06,-0.00015937234089506092,0.0001846187344623711,-7.358400592541633e-05,-0.00013716958802736674,-5.230646699298302e-07,-0.0005573813691929293,-0.0009140933449089062,-0.0002152170377060732,0.00012459066056180745,-9.10984680619246e-05,0.0003404722526223244,-9.804041183087975e-05,-0.0001567941794928629,-3.55815039074514e-05,-8.42917700841402e-05,-0.00024060935347127574,4.8203998449025686e-05,0.00011722348378195117,4.626374319438279e-05,0.0001732698133127997,-0.0001149364155329143,-0.00016852860433573367,-6.605651477002539e-05,-2.8369814390316606e-05,-0.0001071965560913668,4.1373714314734876e-05,6.613567432699105e-05,-0.00027850525477939904,0.00030859790843048055,7.704557768496064e-05,-8.574428022863382e-05,0.0002427941091688505,0.0002477274669217877,0.00016430401228717528,0.0003310517770296429,0.00020336367500325045,9.62166203923213e-05,0.00029586451904227337,0.00025515846694664407,0.0001792919782019453,0.0003322781883859232,2.9705592896789313e-05,-0.0003297823224420426,0.00030319102976742823,0.00030208835378289225,0.00018229619910319645,0.00041958264070369,0.0002866930599945287,0.00022062933615719278,0.0003771607584591645,0.0013264223957473102,0.0008283032739321546,0.001897719576857829,0.0002321257838048041,0.00013988692847002917,0.00032961142608352626,7.175589901938413e-05,-7.462970870013426e-05,0.00022972785518504685,9.786218773418416e-07,-8.438078344624955e-05,7.85539483210111e-05,-2.949585905298591e-07,-8.548796011988695e-05,8.366654357814701e-05,8.980838829302229e-05,-1.1914725412983288e-05,0.00020738771379910762,0.0003055998130851852,-0.00040081376053270406,0.0009094571248942885,-1.5127916412893683e-05,-0.00016643439783365466,0.00010880550036138938,-0.0003803650977109404,-0.0009806538170444887,6.803821992434687e-05
1,120,-0.0002251514388869206,0.00048742750489812653,0.0007192259639850817,0.00013149533440203718,0.0013161115382536082,0.0001893592270789668,2.268104708491593e-05,0.0003167995089340063,4.7586281774177526e-05,-5.811835532464707e-06,0.00010330442086948706,-0.00011494873324409127,-0.0003228933397622313,9.636332935770043e-05,-0.0001247155036253389,-0.0004958792574567875,0.0002862657121052812,4.795177907605345e-05,-3.3744646898412605e-05,0.00014028662527077064,1.0281524252301703e-05,-4.7968199930134384e-05,6.144444476376522e-05,2.0216143699750925e-05,-8.521245161318802e-05,0.00010644272585219978,8.211944550566841e-05,-7.028461551271903e-05,0.00026916791285051063,-0.00017669224932130115,-0.00039786964535475517,1.871346438444264e-05,1.1318816783993194e-05,-0.00012585781279388658,0.00014581241650982218,2.416751328079651e-05,-5.650134587388796e-05,0.0001085192243772326,8.831774660696586e-05,-0.0001370656108580685,0.0003477351739032505,-9.42766640340172e-05,-0.0002104528651398141,1.9669501627201197e-05,-5.3221616205216075e-05,-0.00012634796477262473,2.989374918494531e-05,-0.00012476123908224205,-0.0005021300721273292,0.00028795215829935237,-0.00013124781980877742,-0.0004659418926409368,0.0002049930349069958,7.3867859706903495e-06,-0.00017069582207720184,0.00020167031076804662,5.5809956332571646e-05,-7.446666499466422e-05,0.00019847930440391797,-0.00028789119193485627,-0.0008862907632040635,0.00027042923873523263,-0.00020336600064183586,-0.0004105259829339047,-6.258601079025501e-06,0.00018097912616212852,6.305619522512037e-05,0.00029282821538193583,-2.3735497961752117e-05,-0.0002521889489071327,0.0002204627850248168,-5.341146800977488e-05,-0.00028505719349292727,0.0001430845682625659,-6.461029552156106e-05,-0.00024346943380805898,0.0001892068033460722,0.00014931418312092622,-5.786380250356159e-05,0.00038302595431256734,0.00021292494105485578,-9.507968852024835e-05,0.0004925065710510051,9.334634960396215e-05,-0.00012037320526966747,0.000329026863097776
2,120,0.0026779726341677208,0.0013832560730710004,-0.00012123086780775338,-0.00021654249059793073,-4.616545392006325e-05,-3.567862149793655e-05,-0.00010933513178315479,5.020029209845234e-05,-7.437447808721724e-05,-0.0001697751247835792,2.417284019732809e-05,1.3053560299643626e-05,-8.918468314125978e-05,0.000135087164186795,-4.4924255538110934e-05,-8.913613157346844e-05,6.929121930928284e-06,-2.39520741160959e-05,-0.00013376416308650126,8.823788097894675e-05,3.4873378657115e-06,-0.00012500332202762364,0.0001351692810082265,-0.00012310340268110545,-0.0002402904343822835,3.168881588256533e-06,0.00012648582414840349,-4.341810567590679e-05,0.000280653333987478,0.00012756853175233118,-1.8777316133006627e-05,0.0002773799563631959,-3.113569158207004e-05,-0.00022490319024048706,0.0001459368577464678,0.00012024798367444115,-1.5610476615014092e-05,0.0002455461306514432,5.960635050238731e-05,-6.206416095665189e-05,0.0001778072603822997,1.8426572205498813e-05,-0.00014006742070099182,0.0001889709843089804,-0.00015886140366395314,-0.0004327853249075512,8.749185782410985e-05,0.00018852052962756716,-9.380027640266537e-05,0.00046951060944896506,-0.00027624048525467517,-0.0007315198248640324,0.00017100942864393197,-0.0005001062774681487,-0.0009245992458454565,6.705750503897438e-05,-0.0006698468864973013,-0.0009409247932732494,-0.000448063239637122,0.0002763715225834555,-0.00010938784997051697,0.0005978389323718148,0.0021736201092911263,0.0014689836270554224,0.0030136020153198237,-0.00020098374807275832,-0.0005820120063678284,0.00020844800870690964,-0.0001696096636199703,-0.0003009635562678644,-3.28931675176136e-05,6.660277431365102e-05,-0.0002026862079704491,0.000346367141561738,0.000303641863380714,2.9139251758654925e-05,0.0005713744135573508,-6.4433697843924165e-06,-0.0002783980371411114,0.00029424570003660274,0.00023363989651746427,7.939399821528544e-05,0.0003777081583029941,0.00010847444258009394,-0.0002491996105527505,0.0004704913904909821
3,120,-0.0020773562757919234,-0.0004511340332101099,-1.6122533027858785e-05,-0.00033096536852099233,0.00031305397300457116,-0.00020543047818743314,-0.00038696201924418955,-5.306756978825432e-05,6.189851798505212e-05,-0.0001459989647749656,0.0002594002431457436,-0.00010325801655805359,-0.0002843931603274541,0.00010433697680127814,-1.08600424330992e-05,-0.00019250609614876641,0.0001753071865823586,5.257871331802259e-05,-0.0001594434979900446,0.0002672969377454138,6.528821929047505e-05,-0.00011913889531570021,0.00023353354117716665,7.706057513132692e-05,-0.0002357905192426794,0.00038057015503,1.742977280324946e-05,-0.00016228302601424124,0.0001735241375596767,1.871665056872492e-05,-0.0003098840735522875,0.000386870811804935,-0.0004268129589036107,-0.0006722277143853717,-0.00019870980080061894,-2.262235696737965e-05,-0.00024616144388952914,0.000200426680870199,-0.0002805482402133445,-0.0005707785746926676,-4.8246921214740495e-05,-6.742657715221866e-05,-0.0002641963980689373,0.0001238168819691055,0.001481557412868521,0.0006848398143968855,0.0023745791658802773,0.0003494889058250313,-0.00011721553906681946,0.0008126545684596448,-5.729390395572409e-05,-0.0002541439988878362,0.00012935435725618542,9.672053371711324e-05,-0.00025941913510905577,0.0004057631999603473,-0.00051781777923073,-0.0008724554146950444,-0.0002191821524562933,-0.0004451814951607957,-0.000726429538699449,-0.00012934938327816773,-0.0005111422147213792,-0.0010365149073428863,-2.913822696427793e-05,-0.00015941396753381317,-0.0003427435602255476,3.130375450079258e-05,7.28603374833862e-05,-0.0003307908190375504,0.00046315674114642553,0.0003512799829574457,0.00015545244278958613,0.0005632548602746586,3.440120854065753e-05,-0.00018424180019186072,0.00025092326088876384,-0.00011171422762951503,-0.0005842948313268911,0.00043649287957426484,-0.00011614924393749485,-0.00043530514512288694,0.00018249950982863087,-7.862082808666553e-05,-0.00038030442860569264,0.0002510508825677486
4,120,-0.0047512621153146025,0.00580755667736715,0.0011119716997200157,0.0006098196071616257,0.0015922786888101354,0.0003331414064935719,-0.00011382669295320131,0.0008340787577374917,0.00029069851734675467,-0.000460476596878531,0.001024823397480456,0.0001724925610081603,-8.80981163936667e-05,0.0004244247043122111,0.0004908178525511175,-0.00013717304417999303,0.0011467740746350806,-5.2335190897186594e-05,-0.0003004049241644679,0.00022262577406460577,-0.00013734467793256045,-0.0004889281094074249,0.00023539227433502723,3.920956417762985e-05,2.6999179790436757e-05,5.3531109770119656e-05,4.3802938792699325e-05,1.6485006963193882e-05,6.792660686187447e-05,4.286081239115447e-05,-2.5036763242193644e-05,0.00011389310390465352,-8.636706479592249e-05,-0.00011163070334684259,-5.212133499298942e-05,0.0004373099092238893,0.00013950939057394865,0.0007167613107109599,5.3611021333684526e-05,-9.305707164458e-05,0.0002229939020374635,-9.30311323221152e-05,-0.00011818813345598755,-7.191099785510838e-05,0.0002427775854206023,7.934175550569004e-05,0.00041728431571148893,0.0015011243308739116,-0.0002377511917923887,0.002968214947686648,0.0007990906519504885,0.00034952389396494257,0.0012503110269608442,1.819125609472394e-05,-0.00018717254446528386,0.00028993448676677266,0.00010086502637326096,-0.0001703455551857284,0.00035691634396547067,0.0006324594161317994,8.934058248996735e-05,0.0011814469889213797,0.00027047177427448333,-0.0004727188184430512,0.0009645149262602598,-5.510489281732589e-05,-0.0002346943125303369,0.00011823041333021443,-5.2712462396205716e-05,-0.00016288625135833473,8.059070095744877e-05,0.00013028523389948531,-3.692397657384087e-05,0.0002842262735794065,-5.9793973923660816e-05,-0.00015183753397650433,3.207536065625998e-05,-0.0003884331255297487,-0.0008098508438221567,-9.363694082518704e-05,9.797500970307738e-05,7.048489581696537e-06,0.00020432728406982885,-7.647736977863435e-05,-0.00018595659847051135,2.663093479592745e-05
5,120,-0.0044052727753296494,0.005587267258670181,-0.00011499249424862986,-0.00034211521106044526,0.0001089282016497843,0.0009303975481695185,0.0001722922684954635,0.0015825263855610199,-7.5796007877215745e-06,-0.0002619634727549662,0.0002720553990851234,0.00029875414717632037,-7.610240650440876e-05,0.0006738844285185528,0.0011399876811386397,0.00028060777399029275,0.0018683108600089328,-0.00011775929209155341,-0.00030768590280786154,9.788490579618773e-05,6.182658156224836e-05,-0.0002573111620343601,0.00038472675517065605,-0.00027490104354607563,-0.001397274312233397,0.0009956428785032289,0.0018296825971143942,-8.633263263618569e-05,0.0034329960036363146,0.0003222756543740009,2.331007640653601e-05,0.0006949554209859344,0.0004624232121083575,-0.00015898108191322535,0.0011412029965261659,-3.759428727789782e-05,-0.00017583510827535065,7.407989210454015e-05,0.0014592931023798884,0.0009719976856407205,0.001981573148962828,-0.0005887131846975535,-0.0013645156547621203,0.00016158497906872073,-7.01421313957932e-05,-0.00024991752640441214,0.00010681838589031638,-0.00010487249188978846,-0.00017446289041496736,-2.2481287148063205e-05,0.00021255763592004467,-3.089118912612321e-05,0.0004405023985721833,0.0001035636247252114,-6.490155187445149e-05,0.0002754538940644125,-3.623268567025662e-05,-0.0003720255725784227,0.000349699957635797,-9.691114391898736e-05,-0.00017031010159674527,-8.710371481962858e-06,6.07328843519402e-05,-0.0001245880047766453,0.00022087355864641728,-0.0001365952940735345,-0.00023047475503214324,-4.560418885375838e-05,-6.926938852605721e-05,-0.0013626922362406427,0.0008619136863368722,0.0012733935999373594,3.0989182123448705e-05,0.0027810274056779844,-0.0004838194562277446,-0.0009727278178373429,2.650086991100899e-05,0.0001573058378805096,-0.00011055289335975733,0.000380721767845292,-5.977322968343894e-05,-0.0003681538364617154,0.00021965235733659941,-0.0005257711241332193,-0.0015491548193191798,0.0003319926044787286
6,120,-0.007149318357308706,0.007446167759674912,-7.599387705946962e-05,-0.000613259453578697,0.0003266254688787743,-7.228043347519512e-05,-0.00033765297646217124,0.00020758524497068725,1.3888117731160795e-05,-0.00023709123095613904,0.0003000874294048117,-0.00045808637029646587,-0.000878002699270534,-9.515676429145962e-05,-3.5647179659766454e-05,-8.34520621720003e-05,9.714572152006446e-06,6.963776928993562e-05,1.3366153076882869e-05,0.00013208996169244833,-5.528757368059208e-05,-0.00024144869712472428,0.00011382957964087842,-0.0003285404236521572,-0.000582739193996531,-5.2041793460375615e-05,2.0538808894343674e-05,-3.347138263052329e-05,6.591021488323653e-05,0.0017013278285351893,0.0005624042148701847,0.0030715737973029417,0.0012551294018824895,0.0002915804751683027,0.002244088882483387,0.0030476481158984827,0.0017628376976305542,0.004262319994862387,8.779467995433758e-05,-2.586745341735271e-05,0.00020015880921467523,0.0005032562369403119,8.185271459903263e-06,0.001041991660410228,0.0007391612802166492,0.000411883251023634,0.0011028938589879545,0.00022256695907951022,-0.00025976713700705056,0.0006272452296010065,0.0003138716904989754,-4.47130014799768e-05,0.0007372743169495761,0.000279812255272797,-7.892852404135432e-05,0.0005571286988075979,1.644126265697802e-05,-0.00019048884737761303,0.00022861036584799875,-3.1583747234738745e-05,-0.0002886019919909207,0.0001721183520627771,0.000600523482717108,-4.839976392152795e-05,0.0012304966430262234,-2.586416667327285e-06,-9.070373527113891e-05,8.496876966091805e-05,-0.000939669714231665,-0.0014756292926904279,-0.0004282912469352595,0.000931812923712035,-1.0238369383538755e-05,0.001967985703474066,-0.00010593118058750406,-0.0006359050751416362,0.0002594266022909627,-0.0003113349851143236,-0.00047519084847105357,-0.00015481181960543228,5.9697151300497355e-06,-0.00033834427407176314,0.0003424586252125059,5.3729132923763244e-05,-9.360226830419074e-05,0.00020220605211458556
7,120,-0.013291358466570575,0.014519493963962304,0.00019745892495848238,-0.0003833030853517509,0.0007306864147540183,-0.0009304929903009906,-0.0017723062280128941,0.00012331706064287574,0.0001000591708968083,-0.0009141435607064825,0.0009202801052985405,0.0004025215874814118,-4.24079106839296e-05,0.0008903676610740756,0.0002367625434999354,-0.0001333780204731738,0.0005598256978070521,4.9597026857857904e-05,-0.0005592096970940474,0.0005734722481671878,0.00032216780333934973,3.495833787989493e-05,0.0005628672986737608,-7.26205597554023e-05,-0.0005098503705327555,0.0004582036888556712,-0.00011338500674658765,-0.00029224252672671965,8.505184513827166e-05,-2.0329641605106492e-05,-0.00043023263659658064,0.0004496452807507013,-0.0006167738096943746,-0.0012258434882581545,-2.1464607052621285e-05,-0.0001867913228731292,-0.0004361768707652421,3.828904260444692e-05,0.0003952817634854,0.0001670347485681608,0.0006128003751291545,0.0001210677960140553,-0.00018366254060007728,0.00044969881277211253,0.0010344452137360349,0.0003473922289413168,0.0018403962197286697,-4.542101329813401e-05,-0.0004711215024872217,0.00044509070503409034,0.0021066043351311236,0.0011028621726533554,0.0032281351402828782,0.0027313558103439087,0.0014027940095062757,0.004284017632041166,0.0038641602761344982,0.0024711142955978482,0.005421580916202707,-0.0013320498236377412,-0.001966650425990035,-0.0007602785385824972,0.000914950870598356,-0.0006964499269573327,0.0024638136738697842,0.0003047246301624303,4.1159904782640916e-05,0.0006358519021402269,0.0009480605192948132,0.0003553982963785529,0.0015748477620945779,-0.0005836014829886456,-0.0012012171384412796,-3.863773085564987e-05,3.230045210026825e-05,-0.0002736739998726989,0.00034396906327553256,-9.478382465507214e-05,-0.000532722562153746,0.00036324045448661054,0.004061148642601135,0.0032052823964962346,0.005060288384775049,0.0006930760728816192,6.203868722271491e-05,0.0013032117744054025
8,120,-0.014281768072396516,0.01380145540703476,0.0006174698937684298,-0.002158746851685767,0.0028621606483163003,0.0006798647644851978,0.0004949089686124353,0.0008756375236650153,0.0024923562867722165,0.0018230836220269944,0.0031407575809377403,-0.0009867916310516496,-0.0018210379756055774,-0.00019909758751358191,0.001805672586003008,0.0010752710415302621,0.0025484841630047115,0.007807010117297371,0.0055714666135221105,0.010256359036041735,-0.0012559099035570399,-0.002082445902051404,-0.0005112335955103235,0.0008402314056487133,-2.4831781047390926e-07,0.0016772999104675062,-0.000655759529521068,-0.0011319908548224097,-2.7551832026802e-05,0.0008457738789729774,2.8065294415379622e-05,0.0015111950640372624,-0.00024399172010210654,-0.0006554882598478191,0.00016381260861332228,-0.0014941786280057083,-0.002376126356345291,-0.0005456188288129245,0.0008346072669761876,-0.0010638614574175638,0.002775852692332895,0.0006162551736148696,8.288315177196637e-05,0.0013329057650601803,8.51143900945317e-05,2.5891441976758265e-05,0.00015822049893055625,0.00039532159086472045,7.877560276635147e-05,0.0006689259379587991,-0.0001570080227490204,-0.00028728725079417926,-2.9425924706932462e-05,-0.0004975885599075506,-0.0008448001014767215,-2.6691635139286382e-05,-0.00040940560090045136,-0.0011722604456008412,0.00041605491550096,0.00011288490059087053,5.178817929845536e-05,0.00018429752887944538,-0.0009259955828990011,-0.0014675758990779285,-0.0004389980154216268,0.00037132938644693543,-0.00010852070171191978,0.0008173989086208168,0.0002534530038246885,-6.127546010247897e-05,0.0005062399827632665,-0.00028144419969369967,-0.0003600649749569129,-0.00019914781951229087,-7.808182660179833e-05,-0.00016668898756809844,3.8807811361039074e-05,0.00027015025067764025,-0.00012942205503350122,0.0006899695221606333,0.00010512478183954954,-0.0001714658482039037,0.0003678926113934722,0.002654990934145947,0.001381672107381746,0.003869102222379297
9,120,-0.014136434982841213,0.022377880532076233,-7.503606005532977e-05,-0.0006286861775212552,0.00037263595038894,0.0008686785586178303,0.00044375402949905644,0.0013874597024793427,0.0002340936295998593,-0.00032258056560143205,0.0007743123522959651,-0.00157785964741682,-0.0022784051154546127,-0.0008261131221661343,0.0022127476792472103,0.0014578878592389326,0.002900410969935668,0.004840920064210271,0.003192075324526134,0.006379030762861173,0.0007433860863481338,0.0004344699864789921,0.0011175291431572987,-0.0028469929558923466,-0.004876242887742895,-0.0007414897261332951,-0.0004004070675970676,-0.0006814301105138535,-3.284998238086697e-06,0.0008418949088081718,7.56539837069189e-05,0.0016114939687152706,-0.0012653945246711372,-0.0019514193312109758,-0.0005574585295592743,2.319255048253884e-05,-0.001354730337067546,0.001156024206429721,-0.0017885070376602622,-0.0028008643947153664,-0.0008940988949325398,0.002233314128049339,0.0009835155826294793,0.0033283292744696763,-0.0007167261462503423,-0.0019500667564473892,0.00038554943001751477,0.0030097190174274147,0.0016019628813955934,0.004339172845745149,0.00037532812954547506,-0.00173105567577295,0.002148597007762874,0.009191363332987142,0.00696391046968832,0.012069518198647225,0.0007709196380650004,-0.0001777917977112035,0.0016633891585903864,-0.002419083332642913,-0.003307537027673485,-0.0018107086840124487,0.0028623010613955556,0.001832732414380492,0.004133327202192352,0.0018032012395754768,0.0013655340590169847,0.0023277598002702394,0.002212436590343714,0.001189267636509612,0.0032006844134108785,-0.0014197901745016375,-0.0027554289753121946,0.00013009804330067708,0.0008999367981838683,0.00024449739052215594,0.0015564524809209008,0.00100344280169035,0.00036983286923108,0.0018608822580426932,-0.00045270302058876647,-0.0013222665285320544,0.0004170629659590003,0.0012135042847755055,-0.0006326043017907068,0.003283251434331761
