layer,head,mean_plain_dla,mean_cipher_dla,mean_benign_dla,cipher_sensitivity,plain_minus_benign
16,9,-3.440065372983615,-0.1209540660182635,-0.09088233062066138,3.3191113069653513,-3.3491830423629536
16,12,-2.262250119696061,-0.10497625985493263,-0.1224199905525893,2.1572738598411285,-2.139830129143472
16,13,1.8983677204698324,0.06481185412655274,-0.07864178335294128,1.8335558663432796,1.9770095038227737
13,7,2.033104482293129,0.30366826206445696,0.05041833656529585,1.729436220228672,1.9826861457278329
16,10,1.6869364539782206,0.08133934186771512,0.013962048645286511,1.6055971121105055,1.672974405332934
23,9,0.6531850341086586,-0.19103349881867568,-0.007835227072549363,0.8442185329273343,0.6610202611812079
13,16,0.9063916890571515,0.15394170383612316,0.057903103933980064,0.7524499852210284,0.8484885851231715
27,20,-0.4951596899268528,0.21287007008989653,0.17535085409569243,0.7080297600167493,-0.6705105440225452
14,16,0.7511527127275864,0.07929123140250643,0.02958352443141242,0.6718614813250801,0.721569188296174
14,8,-0.6625988920529683,-0.0010278191960727174,-0.0792781845278417,0.6615710728568955,-0.5833207075251265
19,2,-0.660244649151961,-0.007273768625843028,-0.18306484616672,0.652970880526118,-0.477179802985241
14,10,0.7710798385242621,0.11868796795606613,0.07638879676427071,0.6523918705681959,0.6946910417599914
22,7,-0.6082949393739303,0.04354923799013098,-0.0702724124615391,0.6518441773640613,-0.5380225269123912
16,11,0.6752745967358351,0.0635959821442763,-0.03128800079381714,0.6116786145915588,0.7065625975296522
18,18,-0.5407322610418002,-0.0016955369229738912,0.012002024058407794,0.5390367241188263,-0.552734285100208
26,12,-0.509511838418742,0.025128805404528977,0.12620644633037348,0.534640643823271,-0.6357182847491155
16,17,-0.5119730312377214,-0.00580562336059908,0.12312628237996251,0.5061674078771223,-0.6350993136176839
21,4,-0.47879998621841274,0.023422892717644573,-0.0707161620647336,0.5022228789360573,-0.40808382415367916
18,20,0.4041336141216258,-0.05128625882789493,-0.0950461361091584,0.45541987294952074,0.4991797502307842
13,4,0.5687186977515618,0.12619189731776714,0.011463318516810735,0.44252680043379466,0.5572553792347511
30,19,-0.17987600566508868,0.1868096531058351,0.4184038095797102,0.3666856587709238,-0.5982798152447989
12,21,0.42697559638569754,0.06573460595682264,0.04422011588855336,0.3612409904288749,0.3827554804971442
22,22,-0.37861344575261074,-0.025940511592974266,0.07745643281377852,0.35267293415963646,-0.45606987856638925
16,3,-0.33484825942044455,0.009137230005580931,0.005319120715527485,0.34398548942602547,-0.34016738013597203
13,0,-0.5003606369098027,-0.16710123332838217,-0.28258236510058243,0.33325940358142053,-0.21777827180922027
13,13,0.4207099925726652,0.09158527832478285,0.07034632094049205,0.32912471424788237,0.3503636716321732
15,19,0.37016545987377564,0.04909791682536403,0.0059333940541061265,0.3210675430484116,0.3642320658196695
18,19,-0.2610272713471204,0.05138326718782385,0.06800714894973983,0.31241053853494427,-0.32903442029686025
27,19,0.11032932222199937,-0.19191275375584763,-0.12150090355426073,0.302242075977847,0.2318302257762601
26,19,0.1636612839375933,-0.13375468247880537,-0.15750565241711836,0.29741596641639867,0.32116693635471166
19,0,0.3060570977007349,0.04575060958353182,0.00696579876045386,0.2603064881172031,0.2990912989402811
24,1,-0.1633517307539781,0.08068469514449438,0.042580323619768025,0.24403642589847246,-0.20593205437374612
28,20,0.0868578473571688,0.3295231538514296,-0.031204409695540867,0.24266530649426082,0.11806225705270966
16,0,0.2963678005617112,0.06274889440586169,0.041686071843529744,0.23361890615584952,0.25468172871818145
29,11,0.021532116853632034,-0.20012189050515491,-0.07738723289221525,0.22165400735878696,0.09891934974584728
21,3,0.154611722069482,-0.0653516628779471,-0.07593468650011345,0.21996338494742912,0.23054640856959546
16,14,0.23079563345139226,0.01092487460312744,0.03781886072829366,0.21987075884826482,0.1929767727230986
30,11,-0.2801120415329933,-0.072951308482637,-0.12587576527148486,0.2071607330503563,-0.15423627626150843
14,4,-0.2438584932126105,-0.03852524976246059,-0.04735304657369852,0.20533324345014992,-0.19650544663891198
22,15,0.21012446824461223,0.011322856659535318,0.017583672779922684,0.19880161158507692,0.19254079546468955
21,12,0.1295243055249254,-0.05884719065700968,-0.028607851216414324,0.18837149618193508,0.1581321567413397
14,22,-0.22452413942664862,-0.043291548080742356,-0.027928076513732473,0.18123259134590625,-0.19659606291291615
11,20,0.2688853907088439,0.08948469180613756,0.21363137066364288,0.17940069890270632,0.055254020045201
26,14,0.21432617725804448,0.038266692248483496,-0.13727991781585538,0.17605948500956098,0.35160609507389984
17,12,-0.12691639834083618,0.047883752981821695,0.026003579054183015,0.17480015132265786,-0.1529199773950192
23,20,-0.13028943437772492,0.03809437700547278,-0.0370879641501233,0.1683838113831977,-0.09320147022760161
14,13,0.2063365697550277,0.0388879063539207,0.031014407569697748,0.167448663401107,0.17532216218532995
27,18,0.15147690513792136,-0.013823802897240967,0.0019440060830675065,0.16530070803516234,0.14953289905485387
15,5,0.1296516054154684,-0.035168569892024,0.10219633779488504,0.1648201753074924,0.027455267620583368
9,3,0.21450813754151266,0.05063956342637539,0.12230492491895954,0.16386857411513728,0.09220321262255311
14,9,-0.05218863552436233,0.10920165988306205,-0.03503998585122948,0.1613902954074244,-0.01714864967313285
25,12,-0.08426589345520673,0.07646211236715317,0.043789612560067324,0.1607280058223599,-0.12805550601527405
18,1,-0.23052564579993487,-0.07713911455745498,-0.14541785633191467,0.1533865312424799,-0.0851077894680202
29,19,0.10756573154746245,-0.042951800115406516,-0.11460663615725934,0.15051753166286896,0.2221723677047218
17,13,0.1556278388015926,0.005867558347138886,-0.019462248054333033,0.1497602804544537,0.17509008685592561
13,12,0.2056781228631735,0.058613590073461334,0.04696006098141273,0.14706453278971215,0.15871806188176077
22,14,-0.01745656788116321,0.12878979369997978,0.00811752814721937,0.146246361581143,-0.02557409602838258
30,17,0.022609404133011896,0.16826064586639405,0.009836133530673882,0.14565124173338215,0.012773270602338014
10,0,-0.23107512804369132,-0.08729461530844371,-0.15290393580993017,0.1437805127352476,-0.07817119223376115
16,18,0.17025560457259417,0.026641799323260783,-0.029350023817581436,0.1436138052493334,0.1996056283901756
19,20,0.17081020356466373,0.02769694823461274,-0.021041571896057577,0.14311325533005098,0.1918517754607213
18,4,-0.1005285624259462,0.042530111689120534,-0.00892354305057476,0.14305867411506673,-0.09160501937537144
29,0,-0.22733000221972663,-0.3701386392116547,-0.2952936547808349,0.14280863699192806,0.06796365256110828
30,23,0.08608909033549329,-0.05598225882276893,0.0030463211432409784,0.14207134915826222,0.08304276919225231
15,20,0.13181287531430522,-0.009811255459984144,0.02625412947575872,0.14162413077428937,0.10555874583854649
9,21,-0.04322805170280238,0.09655407927930355,-0.04283778266981244,0.13978213098210593,-0.00039026903298994275
22,10,0.0291503172290201,0.16583446512619654,0.0022206432787546266,0.13668414789717645,0.02692967395026547
29,10,0.09905712617716442,-0.037548885711779195,-0.06774284113974621,0.1366060118889436,0.16679996731691063
15,1,0.1822913391981274,0.04740759649624427,-0.003029036754742265,0.13488374270188314,0.18532037595286965
15,14,0.18838618095032872,0.053872578560064235,0.042237998964264986,0.1345136023902645,0.14614818198606372
15,3,-0.07751813906555374,0.05428712860060235,-0.11552609821471076,0.13180526766615608,0.038007959149157014
11,12,-0.11468448337788383,0.01623315130127594,-0.10945253882867595,0.13091763467915976,-0.005231944549207876
20,15,-0.06239469745972504,0.06657784963026643,-0.10771845335451265,0.12897254708999148,0.045323755894787605
26,7,0.021291542313216876,0.15012210880716642,0.004950613161781803,0.12883056649394956,0.016340929151435073
22,18,-0.05738705692347139,0.07084967705110709,-0.09369538452786703,0.12823673397457847,0.036308327604395646
20,13,-0.026698956040975948,0.10093599688261748,-0.039927212573820724,0.12763495292359342,0.013228256532844776
18,9,0.13722098836054406,0.009910331255135437,0.060518652266667534,0.12731065710540862,0.07670233609387653
14,7,0.08428621181907753,-0.042649663425982,0.015493640893449385,0.12693587524505953,0.06879257092562814
17,9,0.141460045077838,0.01770609199690322,-0.017434410110581666,0.12375395308093477,0.15889445518841966
12,9,-0.05124083229651054,0.07104835268110037,-0.011448810420309504,0.1222891849776109,-0.03979202187620103
18,5,0.1766661894818147,0.05587196222816904,0.06387456922481458,0.12079422725364566,0.11279162025700012
31,19,-0.04555068682723989,-0.16531530246138573,-0.06920582184878489,0.11976461563414584,0.023655135021545003
12,13,0.08679355250205845,-0.0324126907158643,-0.03734419040459518,0.11920624321792275,0.12413774290665364
22,6,0.10397426088651021,-0.01496536995206649,0.0030427145053787776,0.1189396308385767,0.10093154638113143
31,13,0.07766622433749339,0.1964703490336736,0.0849619788893809,0.11880412469618022,-0.007295754551887509
28,13,-0.10446929894387721,0.00963593286772569,-0.08803583676926792,0.1141052318116029,-0.016433462174609295
16,1,-0.15652216269324223,-0.04278948111459613,-0.033147125815351806,0.1137326815786461,-0.12337503687789042
28,17,-0.016038328335465243,0.09604373754312595,-0.12319733759698769,0.1120820658785912,0.10715900926152244
27,10,0.046862578066065905,0.15245117011169593,0.08719355845047781,0.10558859204563002,-0.04033098038441191
26,13,0.11654305200402935,0.014462098712101579,-0.007775842196618517,0.10208095329192778,0.12431889420064787
16,15,0.10795234841449806,0.006014012794670028,-0.007657203582736353,0.10193833561982804,0.11560955199723441
10,16,0.019037548600075147,-0.08181802319983641,-0.028191797718560944,0.10085557179991156,0.047229346318636095
31,18,-0.061560452306487906,-0.1624058499932289,-0.08407284886731456,0.100845397686741,0.022512396560826653
10,8,0.12672569523565472,0.026151792130743465,0.019553210337956747,0.10057390310491125,0.10717248489769797
25,13,-0.061407966531502704,0.039026432142903404,0.02042555623726609,0.10043439867440611,-0.08183352276876879
19,18,0.09892381268242995,-0.0006501912682627638,0.009353609891453138,0.09957400395069271,0.08957020279097681
14,21,0.0736616904847324,-0.0238565343276908,0.04667875530819098,0.0975182248124232,0.026982935176541413
30,16,-0.09297639828485747,-0.19015796271463234,-0.21161281059806544,0.09718156442977487,0.11863641231320797
17,2,-0.16800176991770666,-0.07090620736901959,-0.06390433498503019,0.09709556254868706,-0.10409743493267647
25,21,-0.015618724209101249,0.07951459377072752,-0.016527398145990448,0.09513331797982877,0.0009086739368891986
29,15,-0.00928289865842089,0.0850147650577128,0.0014330629453373452,0.09429766371613368,-0.010715961603758236
18,0,0.08604219881041596,-0.008178900019265712,0.0009769007524785896,0.09422109882968167,0.08506529805793736
25,9,-0.032990408564607304,0.05918633944044511,-0.0013485773427722354,0.0921767480050524,-0.031641831221835066
19,4,-0.02027364574217548,0.07152802186707656,-0.008493907749652863,0.09180166760925204,-0.011779737992522618
19,6,-0.09476773850619793,-0.004570670255149404,-0.010221574684449782,0.09019706825104853,-0.08454616382174815
14,12,-0.005333710124250502,0.08476562189559142,-0.008358033245895059,0.09009933201984192,0.003024323121644557
5,4,0.0842889119250079,-0.00525678222378095,0.08232147467012206,0.08954569414878885,0.001967437254885837
26,2,0.13271416062489153,0.04350268521035711,0.00039724601665511725,0.08921147541453442,0.1323169146082364
22,8,0.07816178109496832,-0.009933914461483558,-0.014557438894795875,0.08809569555645189,0.0927192199897642
14,2,0.06889983914637317,-0.018889301118906587,0.024151268902157123,0.08778914026527976,0.044748570244216045
17,7,0.1398186338910212,0.052914543201526006,-0.02915970723843202,0.0869040906894952,0.16897834112945323
22,16,0.10735948809888214,0.021066953986883165,0.031182040970694894,0.08629253411199897,0.07617744712818725
16,7,0.06206942964345217,-0.024167203266794484,0.012081797120238965,0.08623663291024665,0.049987632523213206
28,15,0.0067055205271268885,-0.07790275209893784,-0.017460642165193954,0.08460827262606473,0.024166162692320844
26,1,-0.11170989403811594,-0.027297633762160937,0.028647079043245562,0.08441226027595501,-0.1403569730813615
14,17,-0.10272349530520539,-0.018320530420169234,-0.02724827763158828,0.08440296488503615,-0.0754752176736171
27,5,0.04816124395583756,-0.03621405287024875,0.03586668574328845,0.08437529682608631,0.012294558212549114
18,10,0.12324376111694922,0.04034239004055659,0.006206963285027693,0.08290137107639263,0.11703679783192153
8,3,-0.0001917862721408407,0.0825726623336474,-0.010100275394506752,0.08276444860578824,0.009908489122365912
11,8,-0.2013214965350926,-0.11967447369048993,-0.003775960812345147,0.08164702284460267,-0.19754553572274744
21,13,-0.06893152888321007,0.011555215235178669,-0.04783282791031525,0.08048674411838874,-0.02109870097289482
16,23,-0.07009320054688335,0.010355854767840355,0.003996944489578406,0.08044905531472371,-0.07409014503646176
22,12,0.010246020206250251,0.0892450986430049,-0.051331225366448054,0.07899907843675465,0.06157724557269831
