layer,head,n_pairs,mean_ctrl_to_ccp_reduction,mean_ccp_to_ctrl_increase,mean_baseline_delta
17,17,120,0.05547478514949987,0.01654546997031684,4.924366651826142
22,7,120,0.041352554929323763,0.00232425861425199,4.924366651826142
22,5,120,0.03797462868781414,-0.0009783896965472852,4.924366651826142
22,4,120,0.032904103306052805,0.002457163848921661,4.924366651826142
23,3,120,0.02978841467406444,0.0019483680285112474,4.924366651826142
23,2,120,0.016319185671098347,0.003022600614033036,4.924366651826142
20,10,120,0.01350610201426102,0.0009214002954966224,4.924366651826142
20,14,120,0.013460614873659633,0.0031522431534331493,4.924366651826142
23,30,120,0.012259358911167424,0.008201610502246279,4.924366651826142
22,6,120,-0.043314314440729,0.0013783964344427824,4.924366651826142
