layer,head,n_pairs,mean_ctrl_to_ccp_reduction,mean_ccp_to_ctrl_increase,mean_baseline_delta
13,2,120,0.45237418381165634,0.07191090059277334,5.353700858490911
15,2,120,0.2756156155366727,0.01371659580356417,5.353700858490911
16,1,120,0.24264532916051842,0.013551419894129137,5.353700858490911
15,7,120,0.21356106927167348,0.00608706882148586,5.353700858490911
17,7,120,0.15925224081629227,0.004475410202409569,5.353700858490911
21,0,120,0.10461863595440792,0.0025699822973403266,5.353700858490911
9,2,120,0.09949064745388109,0.03808805623483959,5.353700858490911
12,6,120,0.07029488297978155,0.0044826865800748315,5.353700858490911
16,0,120,0.06629290236545436,0.0015052556420761193,5.353700858490911
18,0,120,0.03902051848740935,-0.00031914483127347464,5.353700858490911
