layer,head,n_pairs,mean_ctrl_to_ccp_reduction,mean_ccp_to_ctrl_increase,mean_baseline_delta
38,14,120,0.1170655554846478,-0.0014083230695287811,6.140433789207846
39,0,120,0.038757980615314755,0.0006521411747621648,6.140433789207846
24,7,120,0.0364001206231289,0.0009550469414673086,6.140433789207846
33,4,120,0.030010666961574506,0.0013248482834251234,6.140433789207846
30,6,120,0.02733558553957974,0.001285882479406456,6.140433789207846
23,5,120,0.02707046436638206,0.006325557366911882,6.140433789207846
32,13,120,0.026843047764825066,0.0017200666140827982,6.140433789207846
38,4,120,0.02346250809882501,0.0010417109754994622,6.140433789207846
36,0,120,0.016755650142747228,-0.0002957530265863785,6.140433789207846
12,2,120,0.0038004811556307987,0.0029317403362974395,6.140433789207846
