layer,head,n_pairs,mean_ctrl_to_ccp_reduction,mean_ccp_to_ctrl_increase,mean_baseline_delta
53,16,120,0.05444809270626419,0.00011817168584332751,10.089172388630113
55,19,120,0.044046147735639314,0.0005506501717171019,10.089172388630113
78,2,120,0.007420486089058098,-5.520299669361368e-05,10.089172388630113
76,1,120,0.0011202945876110705,2.7491015624207875e-05,10.089172388630113
78,4,120,0.0002969207690211584,7.7522405823995e-06,10.089172388630113
78,0,120,-0.0024319117788537607,-0.00012095080758645933,10.089172388630113
59,25,120,-0.01630743519433321,0.0010632632334820718,10.089172388630113
78,3,120,-0.03216880282456083,-0.0001619200169341192,10.089172388630113
60,5,120,-0.03482700958536123,-0.00019503232825618096,10.089172388630113
58,51,120,-0.057576607966840644,0.002258803084419819,10.089172388630113
