layer,head,mean_plain_dla,mean_cipher_dla,mean_benign_dla,cipher_sensitivity,plain_minus_benign
31,3,2.666071556508541,0.09576540713508924,0.6158041864323119,2.570306149373452,2.050267370076229
34,15,3.3699860920508704,0.8853466212749481,2.4061401347319284,2.4846394707759223,0.963845957318942
35,5,1.6303638723989329,-0.04029480963945389,1.4843193612992764,1.6706586820383869,0.14604451109965644
35,2,0.2022585696230332,-1.2937262376149496,-0.29676447448631127,1.4959848072379829,0.4990230441093445
22,7,1.2814465798437595,0.0767926151243349,0.8108803350478411,1.2046539647194245,0.47056624479591846
30,17,2.776440271983544,1.6503723472356797,2.390920754397909,1.1260679247478644,0.3855195175856352
22,6,-1.3189677300552527,-0.20179323156674703,-0.7550852609798312,1.1171744984885057,-0.5638824690754215
27,14,0.9166956372559071,-0.1216016116241614,0.7346221747497718,1.0382972488800686,0.18207346250613532
27,29,1.303001950432857,0.34011277357737224,1.0224682182384035,0.9628891768554847,0.28053373219445343
34,28,0.4294832409669956,-0.4497583215435346,0.19221709727620084,0.8792415625105302,0.23726614369079474
34,0,0.7378473268511395,-0.13338823076337575,0.01364291732509931,0.8712355576145152,0.7242044095260403
22,4,0.7701207583149274,-0.003943015584566941,0.5252009111146132,0.7740637738994943,0.24491984720031423
31,15,-0.07354176088701933,0.6686592640976111,-0.05068855075708901,0.7422010249846305,-0.022853210129930322
31,19,0.4493240329126517,1.1382361873984337,0.2847145183632771,0.6889121544857819,0.1646095145493746
34,30,-0.28936539984618626,0.3942312421898047,-0.10803153268061579,0.6835966420359909,-0.18133386716557048
30,15,0.597802716276298,-0.08385368054732681,0.10265562695761522,0.6816563968236248,0.4951470893186828
35,22,0.5968657570580641,-0.07695752419531346,0.2686532706953585,0.6738232812533775,0.3282124863627056
32,16,0.19201230873974662,-0.4811074882745743,-0.0483563618734479,0.6731197970143209,0.2403686706131945
27,13,0.736704517249018,0.08832457546765606,0.6031015545129776,0.6483799417813619,0.13360296273604033
22,5,0.9109651525815328,0.28917502239346504,0.7148629528159897,0.6217901301880677,0.1961021997655431
18,30,0.787666434297959,0.20290921156605085,0.5316345690439145,0.5847572227319082,0.25603186525404453
34,19,0.979392080878218,0.4047634147107601,1.038669455423951,0.574628666167458,-0.05927737454573301
26,1,0.0038444524184645464,-0.5326749309897423,-0.008587531469917547,0.5365193834082068,0.012431983888382092
29,18,0.0382945262050877,0.5711689514418443,0.04954464818971852,0.5328744252367567,-0.011250121984630823
24,27,-0.05134325878073772,-0.5709694584210714,-0.19730635254333417,0.5196261996403336,0.14596309376259645
33,6,0.30741312025735773,-0.20675123582283655,0.37631655940786,0.5141643560801943,-0.06890343915050229
32,27,0.07413835839057963,-0.410593136648337,-0.009977425852169593,0.48473149503891666,0.08411578424274922
24,19,0.636684191475312,0.15457935370504855,0.528846242527167,0.4821048377702634,0.10783794894814491
30,20,-0.0006787391069034735,-0.4763620475927989,-0.10209405608475208,0.4756833084858954,0.10141531697784861
18,31,-0.7093456077078978,-0.24281399982670943,-0.5330059555669625,0.46653160788118836,-0.17633965214093528
25,1,0.2101988614226381,0.6676071971654892,0.21392795108258725,0.4574083357428511,-0.003729089659949142
35,19,0.18212135800470908,0.6157330130537351,0.15937014527929325,0.433611655049026,0.02275121272541583
24,24,-0.29452525374169153,0.13211367813249428,-0.040225784317590295,0.4266389318741858,-0.25429946942410125
29,20,0.03104310353907446,-0.3810213575760523,0.028428428379508357,0.4120644611151268,0.0026146751595661037
24,26,0.3644370473921299,-0.03802937115542591,0.09995376806085308,0.4024664185475558,0.2644832793312768
34,3,-0.35824538694384195,0.037624216017623745,-0.06808460778556764,0.39586960296146567,-0.2901607791582743
30,7,0.396998363143454,0.00150016068170468,0.4478364070566992,0.3954982024617493,-0.0508380439132452
23,2,0.6852827042341232,0.29065564200282096,0.46748150112107395,0.39462706223130223,0.21780120311304924
35,4,-0.3592439990490675,0.031877044464151065,-0.3099935380121072,0.3911210435132186,-0.04925046103696029
18,29,0.7120964532718063,0.32513856490453086,0.5092883499339222,0.3869578883672754,0.20280810333788402
35,8,-0.436519901578625,-0.05008872992669543,-0.2651316083967686,0.3864311716519296,-0.17138829318185644
31,2,0.33208608580753207,-0.05420685761297742,0.04627333655177305,0.3862929434205095,0.285812749255759
18,28,0.413942643130819,0.033140914902711906,0.2942923455188672,0.3808017282281071,0.11965029761195184
19,10,0.483754182420671,0.1229322741429011,0.34327430175617335,0.3608219082777699,0.14047988066449763
34,5,-0.03569479160942137,0.3242541763931513,0.08718513483181596,0.35994896800257264,-0.12287992644123732
33,5,-0.015871235192753373,0.3362138470013936,-0.01203303358051926,0.35208508219414697,-0.0038382016122341135
30,6,0.3902876411875089,0.038916950859129426,0.5007677605996529,0.3513706903283795,-0.11048011941214397
29,0,0.02156120022603621,0.36843329506615796,0.014672898596230274,0.34687209484012177,0.006888301629805936
24,17,0.5226884667451183,0.1821447066962719,0.531548660248518,0.34054376004884634,-0.008860193503399727
25,26,0.3696012519299984,0.04887736902261774,0.22367789472918959,0.32072388290738063,0.1459233572008088
27,12,0.5632068097591401,0.2481409509976705,0.5704606669644515,0.31506585876146953,-0.007253857205311465
30,30,-0.34205300837444763,-0.03193727230342726,-0.32821894080067676,0.3101157360710204,-0.01383406757377087
22,12,-0.09430817933753133,-0.3959184199571609,-0.0755652869430681,0.3016102406196296,-0.018742892394463223
28,2,-0.17256442975873748,0.1263323213905096,-0.20683304962391655,0.2988967511492471,0.03426861986517907
35,25,1.4207554186383884,1.122425836821397,0.9126905849824349,0.2983295818169913,0.5080648336559535
34,7,0.4331348593890046,0.1354380226538827,0.1884509059600532,0.29769683673512193,0.24468395342895138
17,17,0.3351898048073053,0.043472937277207774,0.22413325893382233,0.2917168675300975,0.11105654587348299
19,31,0.2667865677426259,-0.018145583492393296,0.12177828022589286,0.2849321512350192,0.145008287516733
15,7,0.2866212584078312,0.0030681584069194895,0.21566988620907068,0.2835531000009117,0.07095137219876052
25,11,0.30415197303518654,0.024764365671823423,0.2542272473840664,0.2793876073633631,0.04992472565112016
34,12,0.11361354477703571,-0.16269127937654654,0.06404679177018503,0.27630482415358226,0.04956675300685068
29,17,0.01862581085297279,-0.25646662215391797,0.017225671893296143,0.27509243300689074,0.0014001389596766459
33,31,-0.169840140050898,0.10093103082229694,-0.10845570672924319,0.27077117087319497,-0.061384433321654816
35,27,-0.16980125267679494,0.09731595516204834,-0.21035618484020233,0.2671172078388433,0.04055493216340739
34,16,-0.4033079084940255,-0.13651285984863837,-0.331338869772541,0.2667950486453871,-0.07196903872148447
35,26,-0.23564536198973657,0.0279256671667099,-0.09958516939853629,0.2635710291564465,-0.13606019259120028
23,8,0.2982831351769467,0.5564582352836926,0.11758016571402549,0.25817510010674594,0.18070296946292122
28,7,-0.24632996435587604,0.011135097468892734,-0.1809662649873644,0.25746506182476875,-0.06536369936851164
35,3,-0.2984852973682185,-0.04799557446191708,-0.22091108669216433,0.2504897229063014,-0.07757421067605416
27,28,0.2518192178880175,0.0028751967397208015,0.12908418078441172,0.24894402114829667,0.12273503710360575
