layer,n_pairs,mean_delta_mlp,mean_delta_attn_total,mean_delta_head_0,head_0_ci_low,head_0_ci_high,mean_delta_head_1,head_1_ci_low,head_1_ci_high,mean_delta_head_2,head_2_ci_low,head_2_ci_high,mean_delta_head_3,head_3_ci_low,head_3_ci_high,mean_delta_head_4,head_4_ci_low,head_4_ci_high,mean_delta_head_5,head_5_ci_low,head_5_ci_high,mean_delta_head_6,head_6_ci_low,head_6_ci_high,mean_delta_head_7,head_7_ci_low,head_7_ci_high,mean_delta_head_8,head_8_ci_low,head_8_ci_high,mean_delta_head_9,head_9_ci_low,head_9_ci_high,mean_delta_head_10,head_10_ci_low,head_10_ci_high,mean_delta_head_11,head_11_ci_low,head_11_ci_high,mean_delta_head_12,head_12_ci_low,head_12_ci_high,mean_delta_head_13,head_13_ci_low,head_13_ci_high,mean_delta_head_14,head_14_ci_low,head_14_ci_high,mean_delta_head_15,head_15_ci_low,head_15_ci_high,mean_delta_head_16,head_16_ci_low,head_16_ci_high,mean_delta_head_17,head_17_ci_low,head_17_ci_high,mean_delta_head_18,head_18_ci_low,head_18_ci_high,mean_delta_head_19,head_19_ci_low,head_19_ci_high,mean_delta_head_20,head_20_ci_low,head_20_ci_high,mean_delta_head_21,head_21_ci_low,head_21_ci_high,mean_delta_head_22,head_22_ci_low,head_22_ci_high,mean_delta_head_23,head_23_ci_low,head_23_ci_high,mean_delta_head_24,head_24_ci_low,head_24_ci_high,mean_delta_head_25,head_25_ci_low,head_25_ci_high,mean_delta_head_26,head_26_ci_low,head_26_ci_high,mean_delta_head_27,head_27_ci_low,head_27_ci_high,mean_delta_head_28,head_28_ci_low,head_28_ci_high,mean_delta_head_29,head_29_ci_low,head_29_ci_high,mean_delta_head_30,head_30_ci_low,head_30_ci_high,mean_delta_head_31,head_31_ci_low,head_31_ci_high,mean_delta_head_32,head_32_ci_low,head_32_ci_high,mean_delta_head_33,head_33_ci_low,head_33_ci_high,mean_delta_head_34,head_34_ci_low,head_34_ci_high,mean_delta_head_35,head_35_ci_low,head_35_ci_high,mean_delta_head_36,head_36_ci_low,head_36_ci_high,mean_delta_head_37,head_37_ci_low,head_37_ci_high,mean_delta_head_38,head_38_ci_low,head_38_ci_high,mean_delta_head_39,head_39_ci_low,head_39_ci_high
15,120,0.04115991732105613,0.12109977216678089,0.01650061766655805,0.012867746566965555,0.020332777873603238,0.00042639258705700435,-0.00011743730967282317,0.0009564486874296558,-0.0010270207960275002,-0.001657880818626533,-0.0004686356603391082,0.002645711942507963,0.0019028168627725488,0.0037207978873933212,0.012943314780325938,0.010153152775941029,0.0159936259650082,-0.006112175048716987,-0.0078521548264204,-0.004296038166212386,-0.0062502207428527376,-0.008679877213047197,-0.004279470209148714,0.009761103574419394,0.0079043021715673,0.011704015384578572,0.04016297149161498,0.03244240216057127,0.04919499362091301,-0.026490935462061316,-0.04471609538275516,-0.006791650311982576,0.0035154062517297763,-0.0009202361636562272,0.008360600110706098,-0.0025025851384270935,-0.006305449346109526,0.0024263208935250665,-0.00310195549003159,-0.004165958457791324,-0.0018704638062142006,-0.005847192644917717,-0.007416577001082866,-0.0035993779493340605,0.003807368711568415,0.002774936261024171,0.0047332378780508095,-0.003838088378931085,-0.005935959212899131,-0.001971647904041069,-0.0038292756614585715,-0.010320604085961046,0.0023130477239222563,0.016819947973514597,0.011273805301461834,0.022178302567141747,-0.002552926271649388,-0.006581515480744808,0.00016133463165412265,0.004341879663600897,0.0013534062321802292,0.0075983462115012355,0.01228829986648634,0.00941160617619365,0.015612195959062462,0.001973297282044465,-0.0002163947816976967,0.004774905213368281,-0.0035737884230911733,-0.006037049989584678,-0.0001621881223400133,-0.00509474219288677,-0.006838661069438482,-0.0038563429240214948,0.003249821183271706,0.0009158836724236607,0.005604622191749512,0.0075322635219587635,0.005234870389831485,0.009776576521738509,-0.0002175144793000072,-0.0012080379115165366,0.0012924236924300191,0.011903900932520629,0.007198454278986901,0.016981786054869486,0.08350693758790537,0.06375267801360072,0.09873730477923041,0.016564726033539045,0.011696912191558415,0.022093188791671603,-0.06362712973689971,-0.07266728731701733,-0.05561498831380353,0.002860083592046673,0.0017384238760132576,0.0039024206203612253,-0.006169633390769983,-0.008920379365445114,-0.0039030284356461695,-0.0009546974945502976,-0.0016770827903140647,0.00019993264344520865,0.008134825386029358,0.006247185513590618,0.00987119992695322,0.002431608195183799,0.0006324715071726435,0.00425454038020689,0.0009844972761735942,-0.0036673023115387574,0.004135022329816516,0.007257082633441314,0.004102433841132249,0.010523612873609332,-0.005391888166195713,-0.010046936002157357,-0.0021031374218000573,-0.0019305164479495338,-0.005203461468918249,0.0015377974139604085
16,120,0.27054682405044633,0.2497615100083446,-0.021141131311499823,-0.024719272038491908,-0.016599902560992634,0.0270145053761856,0.023200971084928218,0.03168114771416488,0.04530103744861359,0.0408837884835278,0.0489124412490249,0.08197837965174888,0.07114164904506955,0.09320471564191393,0.03548977315270652,0.03021849029037791,0.041537822221289385,-0.03486248514382169,-0.040536074005697934,-0.02927251165286483,-0.015546782035380602,-0.021598472418651607,-0.009524444544416236,0.01354901678278111,0.009606811634148471,0.018153957342292405,0.05570389588053028,0.04728755446752378,0.06279787572440304,0.05669850430761774,0.04402732272360784,0.0685462802487503,-0.0411284657389236,-0.047151758601151714,-0.035569676725135654,-0.03474204420732955,-0.04307392184826312,-0.02202667706238572,0.020163709899255384,0.015099902050181602,0.023843568727315863,0.020023328369037093,0.014762010572327806,0.023893367742493864,0.013788131480881323,0.009372611921959711,0.018989574714699604,-0.0008249860644961396,-0.00160317647033177,4.17329926858649e-05,0.0046378281142096965,0.002756764642933073,0.006065590663541418,0.007665760799621542,0.00401655356050469,0.010780236272451777,-0.013202728179749101,-0.0173680906346029,-0.009328319678994985,0.022693061244596417,0.019925264322034005,0.025966167763738966,-0.009116892159606019,-0.012303041586419566,-0.0054263040929799925,0.010007235528125118,0.007065302601355749,0.012626425437823247,-0.1122409571777098,-0.12102172946722324,-0.10341856572709124,0.0025734240926491717,-0.004564368402061519,0.010390029678819699,-0.0007267797676225504,-0.003466442894714419,0.0020101246870278065,-0.010946877878935387,-0.014031761256531657,-0.007884561032309044,0.004422788254062956,0.0014297142987682795,0.00730256972077768,-0.026137375102067987,-0.03099333297626193,-0.021631010889735385,0.016596071530754368,0.009398073729122795,0.02486193309909139,0.0003055434276272232,-0.000852381527365651,0.0014566477564706766,0.03835147205973044,0.029488696954310094,0.047625661662896154,0.015799458161927758,0.01203841132184607,0.019096926576215385,0.005454341961497752,0.003778602635478213,0.007029556450555293,0.0024042227441289773,0.00022156759499921468,0.0054588669447305895,-0.011797599971760064,-0.013913142669431788,-0.0093647478306472,0.006841165915830061,0.0036177014148658297,0.01087007191100079,-0.04111984152890121,-0.058586105168506035,-0.02649007302306321,0.0351876366068609,0.025030073574356115,0.0466186578531051,0.022159200767055152,0.013181928144282817,0.033590622465805305,0.05848696271811302,0.04571259020308692,0.07208398987844702
17,120,-0.015664483436072865,0.39141617580147187,0.022375759412534536,0.016104164456871028,0.028353880770543276,-0.003385119759089624,-0.006805329069369085,-0.0004482979253225508,-0.003551888143798957,-0.006632873134124869,0.00013694155350094374,-0.01121827436145395,-0.01577456103793035,-0.007036732912529266,0.029224551112080614,0.02413184064469533,0.03606296947613979,0.02558239982657445,0.02054433115620971,0.031202786270065796,0.002679405293019954,0.0013082657954995131,0.003793267814022935,0.014128352226301407,0.011815707408968592,0.01676636746546137,-0.013409640048242485,-0.016925678117404457,-0.010329417608154473,0.06706542439351323,0.05895760548992257,0.07725385326344014,0.013006834136710192,0.008524054175698742,0.017687544552609315,-0.0055535493670807535,-0.012119063627081535,0.0014625029543337068,0.013483530837887277,0.007625883225506793,0.01900089428158632,0.011377755812524508,0.005771478826888294,0.01632809129742478,0.037678188198090844,0.02707334572080678,0.048442284210080566,0.004354311034937079,0.0012297459976980463,0.007976167017865613,-0.008117571061787506,-0.010420373845263384,-0.006207458671948795,-0.008662610891042278,-0.01352554867664973,-0.004645223105665842,0.005312301154481247,0.003382343356594599,0.007112061325024113,0.003402060059791741,0.001810002448207039,0.004864937626043684,-0.0076925700608020025,-0.011096514165013407,-0.003942458348950219,0.0042205974646397715,0.0024752493055530066,0.005519988384263949,-0.0013122719137754757,-0.0016946114540163156,-0.0009353695586408626,0.0006009916236507706,0.0004029337713412436,0.0008066211602272232,-0.002303352313659464,-0.004533364047165378,-0.0001136887479515301,0.039001598430331796,0.03334081359120319,0.0449569021432156,0.0069616162877840304,0.003922389358000752,0.01030096046379185,-0.013991173333488404,-0.01838672792422585,-0.007770043620936731,0.0005283742985435917,0.0004130782811322812,0.0006704150329157225,-0.002356418123235926,-0.00332193799270802,-0.001622188003821066,0.008697011730691883,0.006968288379466685,0.010225638222873385,0.001815765117741345,0.0012801622019226974,0.0023313224198621653,0.03389564366855969,0.025768783617337854,0.041227388636859055,0.04409245871356689,0.03260778541468123,0.05743165227768865,0.015376843777873243,0.011590416080289288,0.01825462718930794,0.04035035301737177,0.025928808641183423,0.054734476322967865,0.03456609650747851,0.028399345369058818,0.04080960881867212,-0.02947707313481563,-0.032445820345625785,-0.026332339082437102,0.05272567693609744,0.04522332865298571,0.06098391269139635,-0.030056212759033467,-0.03525935835234122,-0.025100861921382608
18,120,0.3179210122674704,0.3185466073928789,-0.04608631840286156,-0.05297818861106255,-0.04039449832305157,0.025498745831040046,0.01907876619118421,0.03397013080810817,0.02923656374332495,0.024419490689906526,0.033431461258587654,0.005347099894424901,0.004581998144518973,0.006047492885506169,0.006296736673781804,0.004950337839521429,0.007145177105873396,0.00992315220743573,0.008365630335659565,0.011626569651198224,0.00030514343137231966,-0.0008927533971048737,0.0016455320983853482,-0.029164285466928657,-0.03383839100390711,-0.02485032741872905,0.000122431689427079,-3.0991023886599576e-05,0.0002778085978085679,-0.004191971021646168,-0.0050138463334830395,-0.0032099162591597034,0.0038336393510689957,0.002307047046366885,0.005218107403634349,-0.004103751280733074,-0.006325279446367252,-0.0023886161975921524,0.0006304710545615914,0.0004668617929322257,0.0008301129700945846,0.013587622604488085,0.010091286970418879,0.017123091671916578,0.005477889058723425,0.002450974638340995,0.008964863995788618,0.0037575185919801394,0.0033142721169133436,0.00434912553949592,0.06970347779764173,0.057755015410948546,0.0843903523706831,0.06100838775746524,0.050767142734645554,0.07208141373092075,0.0460505029031386,0.035648050207140236,0.054548658623146666,-0.06244223227064746,-0.07072552503756015,-0.0544284320420896,0.10653248425805942,0.08312948139112752,0.1268462532088354,0.11441328721897055,0.09564914287456,0.13795197482443958,-0.022258309944299982,-0.02608925287432309,-0.019015117718421005,-0.006420430548799535,-0.018519898749849138,0.006266650581189115,0.008711072930600494,0.005757078989020859,0.013359901119013856,0.041128600157874944,0.03364351934709703,0.05066754940446115,0.018109812284819782,0.014571867128834128,0.023148063250409905,-0.12160969352504859,-0.1370650308978899,-0.10347008084723106,-0.01951299432160643,-0.023797927799023455,-0.015616186071129051,-0.034269508224679154,-0.03910179773340739,-0.029506117820710644,0.08370413397205993,0.07334288180815444,0.09506704961822833,-0.04557474579972525,-0.050389768929065513,-0.041182759614409106,0.0014108502238135165,0.0002660635792077907,0.0026984473095702315,0.0018856744340155275,0.0010174672896876777,0.002705619502667105,-0.0047816925856750455,-0.009880397088660781,-0.0010718789719491482,0.0005349790095351637,-0.007497448880555263,0.006772224381080982,0.10560336331448829,0.09023444774453916,0.12246908085857285,-0.02640824009043475,-0.03513066967406,-0.01818948887366181,0.012832421245790707,0.008405779637323576,0.017666536088460513,-0.030275280763938404,-0.036397225783536366,-0.024921264653627685
19,120,0.2925453448202461,0.26913085417327237,0.008468352563795634,0.005388920490076998,0.012297644304441442,-0.02767265068056683,-0.0338844062203619,-0.02074277245691822,0.014387603211798706,0.005952700832664656,0.025322389166564485,0.01708732058517247,0.009817619815500318,0.025594759987022053,0.04420397534656028,0.03661498442622057,0.0511694236829256,0.03457599828252569,0.029398503189877374,0.040212926787062314,-0.02352161199087277,-0.02876252990856301,-0.017372633198877645,-0.06627129515400157,-0.07535497290169588,-0.05809215277899057,0.02167242602639211,0.015592698719653224,0.02735108845993333,-0.05087057523196563,-0.059947953608061655,-0.04172318305470982,0.02083990390043861,0.014400551346067611,0.02632110542785085,0.04156752051785588,0.028387110582649863,0.05658689009549559,0.024560066330013796,0.017674800904642324,0.031172017217031677,0.017996612563729288,0.012229287579539233,0.02472119304172035,0.031809938295433916,0.024740342685448318,0.03920757952039517,-0.012164857355916563,-0.019743521253282475,-0.0005076833906787259,-0.03384711557300761,-0.04323977096704766,-0.026643059009414483,-0.027345959186398736,-0.037731871607441764,-0.017681754703614085,0.0439567907655146,0.037691433445288566,0.04957504299794283,0.023941826636049275,0.01888066253164046,0.02914491598082046,0.07415377364959568,0.0657675508361232,0.0821445862223239,0.00044661708913433057,-0.0027993931563590497,0.0031177086588286317,-0.06846654011945551,-0.07598033936781576,-0.06234154842881253,0.03613011236690606,0.030195724894001616,0.04083117446658434,0.0012702652922598646,-0.0006488761605821006,0.003000520474452058,-0.00762136623961851,-0.010514316056408764,-0.005383670816324108,0.00668976399465464,0.004084292147454107,0.009917102090936774,-0.007305893866578117,-0.010054618295932112,-0.004680750499586187,-0.1007206919370219,-0.11721189452160614,-0.09040485746207803,0.08409905847317228,0.06592503917655752,0.10299132076538323,0.14026512866063665,0.1261073790395555,0.1536938031071137,-0.045145491405855866,-0.055730169101055556,-0.03635704625679258,0.030422668704219783,0.021712653494178086,0.03892234660166044,-0.11329850722104311,-0.12438013680744917,-0.10376936099142771,0.0744510049543654,0.06350493397408476,0.08676541784671522,0.07748823620301361,0.06675548066462701,0.08543898028787225,0.0021323840070787505,0.000379620236029344,0.003885045089045889,0.0032099555149519197,0.0017504162214997147,0.004675905369210037,0.0007584408813272603,0.0002734100560337538,0.0011984210384980538,-0.02320233468102136,-0.03271290311662597,-0.01583615338095115
20,120,0.2430410358744363,0.44425706686160993,0.130745973791151,0.10775655828115609,0.14873350657328652,0.02025888062392672,0.014562166271692451,0.027177441804475767,0.002053125501455118,-0.005176637198892422,0.010578342836912872,-0.032836621294457774,-0.03867132643439011,-0.025290429316228255,-0.008579076867317782,-0.010305751870231082,-0.00641930954923737,-0.002925067433776955,-0.009418335348212471,0.003561506476641322,0.005346941200938696,0.001977598142742257,0.008734785735578041,-0.014386520867507595,-0.017127776628500818,-0.011404331766073788,0.01758035473273291,0.01441020565762301,0.020558213790476048,-0.0005539679996824513,-0.001150047644575049,-5.608349568016529e-05,-0.009591707837535069,-0.012642355039230703,-0.006775462154958716,0.008918618376871261,0.006317097054876891,0.01204766228031076,0.012096174872325113,0.00476590587097841,0.019606201581967367,0.03855120746108393,0.03273770332632314,0.04619654822774463,0.024167223018594086,0.011103301168380616,0.04766702438665861,-0.07906929549838727,-0.08882638469988402,-0.0695566128162318,-0.20960060430613037,-0.2268084971640686,-0.19203041240010255,0.1360351315854738,0.1205969841122472,0.14848946118300468,0.10954217011458241,0.09240872311323377,0.1319939885395676,0.2331103039983039,0.20467091198447937,0.2617850813215288,0.0895538511297976,0.0757743667976077,0.10256236491239784,0.006763900864946966,0.0014454542990521683,0.01192232429573778,-0.13861165184838076,-0.1533446637011366,-0.12056634614632154,-0.0006287778068023423,-0.0036905850087835764,0.002054523178376257,0.030493395383624982,0.020373993170893907,0.04043409061094279,0.013136419123232676,0.009560216218887944,0.016780627851549063,-0.0063164518631917115,-0.012301230403318186,0.0008978767656905481,0.016294887766707688,0.011250177116550427,0.02119875472111744,0.06368209658345829,0.05276735156531989,0.07464513959848167,-0.046945547708310185,-0.0518994620029116,-0.042153877527647036,0.03091614706402955,0.02726720515299045,0.03513013699572184,0.009348252566996961,0.008453114856371636,0.01066907652762893,-0.004792396074238544,-0.00843266743014586,-0.0025140252492565213,-0.024743936538773898,-0.031496966990768364,-0.01726599875289444,0.01596868261015819,0.010386675256013405,0.02098730793230061,-0.0021753397760524724,-0.005736592312508341,0.001577761858716257,0.03812984274700284,0.029918461650959217,0.04948608011201334,-0.04172009177467165,-0.05944167123995915,-0.024642709804466027,-0.0013699500889439757,-0.007729239910355924,0.005200912130700687,0.016410491328376034,0.013585330419252084,0.019101209990767528
21,120,1.0538329118862748,0.6271892350116104,0.011508063601892597,0.009172427125825682,0.014181944006534953,0.016664693144654543,0.009117986365260245,0.025771939543556072,0.2222217065320971,0.17320272088572286,0.269988404646089,0.005536178187079107,0.003360653086710954,0.007838032948056933,-0.013936426828149707,-0.02150086652371101,-0.007115504994386964,-0.00035686497867573055,-0.0011575855015689741,0.0004045572898515574,-0.0047361922430961085,-0.006342308008170221,-0.003023591184149459,-0.004992092981895743,-0.006083807365260631,-0.004003468321995267,-0.03301063172111753,-0.04173479357251684,-0.02227590083726682,0.08428233315159256,0.07565592655737419,0.09301089906308332,0.06909364773115764,0.06339305640431121,0.07424958635490232,-0.07799848480305324,-0.08668568555886547,-0.06823738663913295,-0.035984190658200535,-0.045652673892715635,-0.02689637885031213,0.003735380406336238,0.0020985318610958832,0.005605184857098114,0.08288692248752341,0.06827534548501717,0.09803164828626904,-0.0033880359173053876,-0.010207402929469632,0.0036109115008730345,0.006187302374746651,0.004750326773961812,0.007831650287213656,-0.013927610981287824,-0.016702105038912122,-0.011441280722453186,0.01542544414405711,0.012281767993069176,0.01827258471273429,0.0004464781498730493,-0.00024254079868114788,0.0010395195891639251,0.004996902373386547,0.0008533689271037777,0.00803644159255782,-0.00010031831916421652,-0.0013818297951850886,0.000803625849172628,0.006559242901857942,0.0032418964695534666,0.010163308491173664,0.014415184120298363,0.01202426029056369,0.017450894496117447,0.002348099648952484,-0.00032928942717262537,0.004973336467301122,0.004145710359443911,-0.0008218572445184691,0.008044024636231672,-0.011963543235712375,-0.01575224849836862,-0.008056712952335754,0.05224754527929084,0.041802701045380676,0.06437419731638025,0.08470857789119085,0.07205050633851594,0.0969354149068628,0.0432185471659371,0.025523781166799986,0.06048473853554847,0.049692275033642846,0.03255114112485898,0.07102921544438383,-0.00031917343537012733,-0.006121522501440874,0.007173130307249564,0.11982943327554191,0.10742330691612248,0.13250451332967106,-0.24307467212590078,-0.26256290219336126,-0.22728655073403695,0.22120696199902642,0.20423257594947547,0.2390896420619295,-0.0519896544496684,-0.05782971577597588,-0.04570561502968,-0.034880367080525804,-0.04391043926162335,-0.02687700709405666,0.02536391079192981,0.014573154057434295,0.03443028401961783,-0.08784928892273455,-0.09965645953188262,-0.07429925370340547,0.09897624294195945,0.0855739416827176,0.11404216716424947
22,120,1.2809520541379849,0.27077011366782244,0.0022421898029278964,-0.0032038637661753458,0.007768862059043987,-0.000578368412485967,-0.0007474464690797807,-0.0004045400142543562,0.016692998462046187,0.008095377035885273,0.027911341135428876,0.005357219986035488,0.0019317955897713546,0.01011298440309474,-0.0014879977446980775,-0.007845477495284286,0.005087579501850989,-0.0023216454399516808,-0.003602201305669344,-0.0010001720458240016,-0.00010864428865412871,-0.0007141327693049485,0.0005979405299634284,-0.0013810599402252896,-0.0018057319275127763,-0.0009510203975272212,0.014887334998153772,0.01047819000169208,0.0208017078390306,-0.026667501111902917,-0.031354935686540554,-0.022532220658855903,-0.010942174698478387,-0.01882558426441392,-3.399005743025637e-05,0.045215212231657156,0.032988636733207385,0.05751704877324906,0.04034170541757097,0.028717296047349617,0.05138291070208652,0.16119241485527405,0.1506639870966319,0.16782211360521615,-0.23952342701765397,-0.25301939474195634,-0.2250159414035928,0.040349202877647865,0.03227699695720124,0.04805657811467729,0.0046369242093836265,-0.001341322621932098,0.01329127793559261,0.0013150102109648286,-0.006350142668622235,0.008840404958464203,0.017271363901090808,0.010851842281190328,0.026790097396175647,0.016267976584883097,0.00983691784334951,0.021820772037584295,0.004114627865298341,0.000629048782211612,0.008543208071108286,0.014348182887382184,0.011776429532207354,0.017040483531430554,0.04652860713055513,0.03809907308132097,0.054092907463685454,0.05844872989691794,0.046244986957074914,0.07298278504356857,0.05336822475073859,0.04592536704983407,0.058109907971520436,-0.016346323196194133,-0.020604455520175785,-0.011363869249932275,0.002718529908452183,-0.0039729868410116375,0.010195263969459724,0.008986040554009377,-0.00507536535228913,0.021247852803013903,0.027282850444316865,0.019990229174339524,0.034658589090977326,-0.062297771595573675,-0.07383449390879832,-0.052531922909547585,-0.050685769990862654,-0.05630852984477921,-0.04534483502958513,0.03837284238931413,0.03148340049025137,0.04385352376130565,0.11589568874721105,0.10314386124373413,0.130817051732738,0.11056854344593982,0.09839878104336094,0.11836786618204011,-0.04731914222550889,-0.059671079017571176,-0.03581430520260862,-0.19943527592501292,-0.21404408664850053,-0.1770088861841941,0.04373672588650758,0.03764504834165564,0.05018490320527538,-0.0018068341625621543,-0.004901409836650904,0.0011662885781212565,0.0337816466538546,0.01891287366995433,0.051469186831285076,0.007751255319453776,-0.0033391789116042976,0.018467522240825925
23,120,1.0425801039673388,0.5383840667340943,0.019796016147787063,0.016766686400490775,0.02310730529318486,0.10494591995763282,0.08429885444415657,0.12627951322589068,0.02390718899065784,0.017966432163132897,0.029943731536889878,0.3384394137460428,0.25924216823089713,0.4178278977179434,-0.007267713358548159,-0.009216254102939274,-0.0051892122762607585,-0.008536150760482997,-0.01252124548656866,-0.0037118997884681456,0.08242847993193815,0.07226280758312593,0.09429438251866182,-0.022866763779893516,-0.03129684126935899,-0.014118469473517813,0.03211824443618146,0.0243549581465777,0.03923547539166368,0.01971495610875233,0.005729463950071173,0.041050323031934864,0.007261774824776997,0.0037859102092867637,0.011226496325616607,0.0014023658116154062,-0.0033165139580281296,0.008288245322304036,0.006387185932059462,0.004741911311284639,0.007796672322001539,0.003463602547223369,0.0019329170532728314,0.004916200905887914,0.0019386395210555444,-0.0003637504771662255,0.0037454173002818905,0.001270115393466161,4.474842263637887e-05,0.0024697998119639413,-0.020998998431605288,-0.02397991319170008,-0.01801132890645628,0.0018230885150842368,-0.004143470327398972,0.007538607576279896,0.06388315524479064,0.05157126496613879,0.07674330204642804,0.0003635518087927873,-0.0005753124527836916,0.001313092117173558,-9.53570551549395e-05,-0.0013323019353265408,0.001901821108234189,-0.04650592432590202,-0.05407120968806946,-0.038021643611718905,0.002113523594258974,-0.0021873223327080874,0.006407239672650273,0.0014142722793621942,0.00041195538814160196,0.002860594927042257,-0.08542519822949543,-0.09845431979367276,-0.07437813234855034,0.004667532925668638,0.0034429997668485156,0.005664858767934978,0.024747215300643197,0.020492912241703985,0.029388709288808358,0.014300473368105788,0.009489630444926055,0.01823914758773753,0.007572761573828757,-0.0047873614330698425,0.021427733635840312,0.004901256777035693,0.0013416037335264263,0.00781755885533736,-0.014556596197265511,-0.019792282118723963,-0.009985999419344206,0.03289287863687302,0.02408513013739139,0.047331857931373324,-0.04408387456011648,-0.05167795184417628,-0.038939450739223204,-0.04102862396587928,-0.05520476638882731,-0.023341331257640076,0.02713630007347092,0.019563971812021918,0.03451155710596745,0.0028522461963196594,-0.004605221173066335,0.009489733856753444,0.03185350654530339,0.024565584786614636,0.03950707335825427,-0.06527327923880269,-0.07738879001505362,-0.05185140171709161,0.03231977066413189,0.025092977472862307,0.04059723189047266,-0.0008928902156185359,-0.0017843205460909908,8.254820786532865e-05
24,120,0.5303692251754304,1.1465246274705956,-0.007085231289966032,-0.01592303973103602,0.0022353796875783354,-0.10548417700144151,-0.12567580845206974,-0.0897611617035,0.007206974925550943,-0.001981891787533338,0.017557324512939274,0.06884807508128385,0.05569253106038862,0.0813605867186561,0.15777289823551352,0.12285678769122266,0.20120610392894978,-0.05243424671546867,-0.06391510578711555,-0.0418551087861124,-0.0027847048094069276,-0.004488583588899928,-0.0012658281848416679,0.0028219314859597943,0.000560708748162142,0.004903191567076038,0.022700788798586776,0.016680322011137224,0.028711302101243442,-0.012745110273438815,-0.01690471163892653,-0.009551355029155578,0.001447324833619253,0.000640642748743024,0.0023133958468800593,0.0009107697890916219,0.0005816376608224043,0.0012305264401220482,0.015086987401203563,0.010603800768052072,0.02114266163747136,-0.19215286604206389,-0.22029629638399154,-0.1655403770347281,0.2598571142569805,0.21085574775235727,0.3040617596381344,0.5922541361651383,0.4920878856139219,0.6928485529418685,0.0671755589894019,0.05666998306318419,0.07837747591625276,0.029737911603297106,0.017905003774552217,0.04335641691715863,-0.027468997146934272,-0.034373688303894596,-0.020576237115310512,0.03968428190855775,0.030549205764255023,0.05531950478359552,-0.0018796829050794865,-0.0031186062134171758,-0.0006343821353705918,0.16490165431168863,0.14145735747467067,0.19270134514280168,-0.027432410741069665,-0.03416719794050247,-0.02224855031265179,0.03853935508038073,0.029048074621653843,0.047169290727833865,0.0694108910257152,0.055159009838826024,0.08530770787261037,0.004838297162496019,0.0030143453755469333,0.0069200635237575605,-0.06887319460123156,-0.08226780347972332,-0.05957112528131499,-0.034544569004598694,-0.04173798088993256,-0.028431663664693293,0.0007540764447185211,-0.0002498080484656384,0.0018173053777839716,-0.0002543609455945746,-0.001497147800091625,0.001031124872903698,0.009045135187140356,0.004123324699758087,0.013120356171323995,0.015309199069452006,0.011441259957864531,0.019421034284387132,-0.004039118629104148,-0.006542887703738719,-0.0016237047505759017,-0.0038661747035803272,-0.00434539289331345,-0.0034702839301947587,0.13533377174365643,0.11954134921455989,0.14959728604929598,0.006161347278005754,-0.0005083744704703955,0.013798616648903882,-0.008800123470912998,-0.011056987840735626,-0.007095280422193659,-0.000846578929728518,-0.004927811042289249,0.002917213107624166,0.030862638412509115,0.013529093618659923,0.046999659095987835,-0.043444944509731916,-0.05099329616549464,-0.03569912836802056
