layer,head,mean_normal_delta,mean_knockout_delta,change_pct,n_pairs
22,7,0.168048,0.140015,-16.7,120
23,3,0.044761,0.042344,-5.4,120
22,4,0.059959,0.056076,-6.5,120
22,5,0.022231,0.016493,-25.8,120
22,6,-0.180596,-0.162301,10.1,120
23,2,0.173752,0.154014,-11.4,120
