layer,head,mean_normal_delta,mean_knockout_delta,change_pct,n_pairs
16,13,1.342886,1.403119,4.5,120
27,19,1.85902,1.843556,-0.8,120
29,18,2.152026,1.894644,-12.0,120
26,11,2.665282,2.518765,-5.5,120
26,9,1.23018,1.038084,-15.6,120
