layer,head,n_pairs,mean_ctrl_to_ccp_reduction,mean_ccp_to_ctrl_increase,mean_baseline_delta
26,40,120,0.1288195660914909,-0.003303907183997445,6.322307862130818
26,39,120,0.11131140041165669,0.0018837647027981068,6.322307862130818
35,2,120,0.054513705271885995,0.0024178458621370654,6.322307862130818
32,52,120,0.0423086402664244,-0.0008039824452198377,6.322307862130818
26,27,120,0.03981452845338255,0.00022282254889179274,6.322307862130818
23,48,120,0.010127830012511033,-0.0015051826339256647,6.322307862130818
33,15,120,-0.009432548773186762,0.0005857823720707237,6.322307862130818
37,46,120,-0.014826483825195835,0.001294555034803792,6.322307862130818
35,5,120,-0.04591501750979538,-0.00019070600296020685,6.322307862130818
33,10,120,-0.060522633261026824,0.0006983853492756599,6.322307862130818
