layer,head,n_pairs,mean_ctrl_to_ccp_reduction,mean_ccp_to_ctrl_increase,mean_baseline_delta
38,25,120,0.2231098370325477,0.00015894652759367752,8.71312685784333
24,15,120,0.10945771106668,0.00032011544089802663,8.71312685784333
33,32,120,0.08015056770095956,0.0018441197591141652,8.71312685784333
29,22,120,0.0560248489159683,0.0006596086806798111,8.71312685784333
34,33,120,0.05601682716302546,0.00026920996717199355,8.71312685784333
37,5,120,0.03670984094536754,0.0008311956419494016,8.71312685784333
30,1,120,0.02973369406778061,-3.60265097720013e-05,8.71312685784333
36,33,120,0.028293886662202818,-0.0002150864855104463,8.71312685784333
32,3,120,0.025012291118117112,-0.0005250402561633886,8.71312685784333
38,20,120,0.022911659846179874,0.00010089626506404019,8.71312685784333
