layer,head,n_pairs,mean_nll_reduction,mean_baseline_delta,mean_intervened_delta
56,3,120,0.10473292679339616,3.7910901974077187,3.6863572706143226
56,0,120,0.024747643580914577,3.7910901974077187,3.7663425538268043
63,23,120,0.0051993785319480925,3.7910901974077187,3.7858908188757705
60,5,120,0.004474583718101678,3.7910901974077187,3.7866156136896176
62,34,120,0.0022600104356342797,3.7910901974077187,3.7888301869720844
59,15,120,0.001716989729548014,3.7910901974077187,3.7893732076781705
60,45,120,0.0005701759457467009,3.7910901974077187,3.790520021461972
62,39,120,0.0004944940563503808,3.7910901974077187,3.790595703351369
62,59,120,0.0002105502506492422,3.7910901974077187,3.7908796471570696
62,37,120,0.00018743642607354504,3.7910901974077187,3.7909027609816452
59,25,120,5.170095894680334e-05,3.7910901974077187,3.7910384964487718
61,12,120,-2.7515796530847014e-06,3.7910901974077187,3.7910929489873717
60,49,120,-0.00010689210115438219,3.7910901974077187,3.791197089508873
57,12,120,-0.00018166193113151966,3.7910901974077187,3.79127185933885
63,19,120,-0.00027930544761075037,3.7910901974077187,3.7913695028553294
59,31,120,-0.0007866347399764246,3.7910901974077187,3.791876832147695
61,9,120,-0.0008323080471055992,3.7910901974077187,3.7919225054548247
63,20,120,-0.0010056073866492904,3.7910901974077187,3.7920958047943683
62,35,120,-0.0016336634240997406,3.7910901974077187,3.792723860831819
60,2,120,-0.0033365707659655888,3.7910901974077187,3.7944267681736843
